inventory_id,product_id,warehouse_id,stock_quantity,inventory_date
INV-00001,PROD-0001,WH-EAST-01,64,2026-01-01
INV-00002,PROD-0001,WH-WEST-02,184,2026-01-01
INV-00003,PROD-0001,WH-CENTRAL-03,105,2026-01-01
INV-00004,PROD-0002,WH-EAST-01,243,2026-01-01
INV-00005,PROD-0002,WH-WEST-02,44,2026-01-01
INV-00006,PROD-0002,WH-CENTRAL-03,26,2026-01-01
INV-00007,PROD-0003,WH-EAST-01,151,2026-01-01
INV-00008,PROD-0003,WH-WEST-02,136,2026-01-01
INV-00009,PROD-0003,WH-CENTRAL-03,210,2026-01-01
INV-00010,PROD-0004,WH-EAST-01,105,2026-01-01
INV-00011,PROD-0004,WH-WEST-02,97,2026-01-01
INV-00012,PROD-0004,WH-CENTRAL-03,97,2026-01-01
INV-00013,PROD-0005,WH-EAST-01,20,2026-01-01
INV-00014,PROD-0005,WH-WEST-02,82,2026-01-01
INV-00015,PROD-0005,WH-CENTRAL-03,153,2026-01-01
INV-00016,PROD-0006,WH-EAST-01,78,2026-01-01
INV-00017,PROD-0006,WH-WEST-02,204,2026-01-01
INV-00018,PROD-0006,WH-CENTRAL-03,200,2026-01-01
INV-00019,PROD-0007,WH-EAST-01,205,2026-01-01
INV-00020,PROD-0007,WH-WEST-02,70,2026-01-01
INV-00021,PROD-0007,WH-CENTRAL-03,81,2026-01-01
INV-00022,PROD-0008,WH-EAST-01,172,2026-01-01
INV-00023,PROD-0008,WH-WEST-02,14,2026-01-01
INV-00024,PROD-0008,WH-CENTRAL-03,117,2026-01-01
INV-00025,PROD-0009,WH-EAST-01,115,2026-01-01
INV-00026,PROD-0009,WH-WEST-02,105,2026-01-01
INV-00027,PROD-0009,WH-CENTRAL-03,55,2026-01-01
INV-00028,PROD-0010,WH-EAST-01,180,2026-01-01
INV-00029,PROD-0010,WH-WEST-02,83,2026-01-01
INV-00030,PROD-0010,WH-CENTRAL-03,159,2026-01-01
INV-00031,PROD-0011,WH-EAST-01,202,2026-01-01
INV-00032,PROD-0011,WH-WEST-02,53,2026-01-01
INV-00033,PROD-0011,WH-CENTRAL-03,188,2026-01-01
INV-00034,PROD-0012,WH-EAST-01,62,2026-01-01
INV-00035,PROD-0012,WH-WEST-02,150,2026-01-01
INV-00036,PROD-0012,WH-CENTRAL-03,111,2026-01-01
INV-00037,PROD-0013,WH-EAST-01,93,2026-01-01
INV-00038,PROD-0013,WH-WEST-02,7,2026-01-01
INV-00039,PROD-0013,WH-CENTRAL-03,82,2026-01-01
