order_item_id,order_id,product_id,quantity,unit_price,discount
ITEM-000001,ORD-000001,PROD-0027,3,49.99,0.0
ITEM-000002,ORD-000001,PROD-0006,2,59.99,12.0
ITEM-000003,ORD-000001,PROD-0008,3,29.99,9.0
ITEM-000004,ORD-000002,PROD-0020,1,39.99,0.0
ITEM-000005,ORD-000003,PROD-0022,2,149.99,30.0
ITEM-000006,ORD-000003,PROD-0036,1,22.99,2.3
ITEM-000007,ORD-000004,PROD-0048,3,22.99,0.0
ITEM-000008,ORD-000005,PROD-0049,3,16.99,0.0
ITEM-000009,ORD-000005,PROD-0046,3,149.99,0.0
ITEM-000010,ORD-000005,PROD-0005,1,279.99,28.0
ITEM-000011,ORD-000006,PROD-0038,3,89.99,0.0
ITEM-000012,ORD-000006,PROD-0008,3,29.99,4.5
ITEM-000013,ORD-000006,PROD-0023,3,249.99,0.0
ITEM-000014,ORD-000006,PROD-0030,3,139.99,0.0
ITEM-000015,ORD-000007,PROD-0024,1,99.99,10.0
ITEM-000016,ORD-000007,PROD-0045,1,69.99,7.0
ITEM-000017,ORD-000008,PROD-0009,2,34.99,0.0
ITEM-000018,ORD-000008,PROD-0012,1,59.99,6.0
ITEM-000019,ORD-000008,PROD-0021,2,299.99,60.0
ITEM-000020,ORD-000009,PROD-0006,1,59.99,0.0
ITEM-000021,ORD-000009,PROD-0037,2,18.99,0.0
ITEM-000022,ORD-000010,PROD-0037,1,18.99,0.95
ITEM-000023,ORD-000011,PROD-0035,3,59.99,0.0
ITEM-000024,ORD-000011,PROD-0014,2,34.99,0.0
ITEM-000025,ORD-000011,PROD-0028,2,34.99,3.5
ITEM-000026,ORD-000011,PROD-0007,2,49.99,0.0
ITEM-000027,ORD-000012,PROD-0014,3,34.99,5.25
ITEM-000028,ORD-000012,PROD-0048,3,22.99,6.9
ITEM-000029,ORD-000013,PROD-0014,3,34.99,5.25
ITEM-000030,ORD-000013,PROD-0004,3,39.99,6.0
ITEM-000031,ORD-000014,PROD-0033,1,79.99,8.0
ITEM-000032,ORD-000014,PROD-0044,2,19.99,0.0
ITEM-000033,ORD-000014,PROD-0007,1,49.99,0.0
ITEM-000034,ORD-000015,PROD-0037,2,18.99,3.8
ITEM-000035,ORD-000015,PROD-0041,1,29.99,0.0
ITEM-000036,ORD-000016,PROD-0050,3,449.99,0.0
ITEM-000037,ORD-000017,PROD-0014,2,34.99,3.5
ITEM-000038,ORD-000017,PROD-0028,2,34.99,0.0
ITEM-000039,ORD-000017,PROD-0032,3,19.99,6.0
ITEM-000040,ORD-000017,PROD-0018,2,14.99,0.0
ITEM-000041,ORD-000018,PROD-0002,2,349.99,0.0
ITEM-000042,ORD-000018,PROD-0008,2,29.99,0.0
ITEM-000043,ORD-000018,PROD-0011,3,24.99,0.0
ITEM-000044,ORD-000018,PROD-0029,3,27.99,4.2
ITEM-000045,ORD-000019,PROD-0017,3,64.99,0.0
ITEM-000046,ORD-000019,PROD-0006,3,59.99,0.0
ITEM-000047,ORD-000019,PROD-0024,1,99.99,0.0
ITEM-000048,ORD-000020,PROD-0045,2,69.99,0.0
ITEM-000049,ORD-000021,PROD-0006,2,59.99,6.0
ITEM-000050,ORD-000021,PROD-0047,1,17.99,0.0
ITEM-000051,ORD-000021,PROD-0007,3,49.99,0.0
ITEM-000052,ORD-000021,PROD-0021,3,299.99,0.0
ITEM-000053,ORD-000022,PROD-0006,1,59.99,0.0
ITEM-000054,ORD-000022,PROD-0007,3,49.99,15.0
ITEM-000055,ORD-000023,PROD-0016,3,79.99,0.0
ITEM-000056,ORD-000023,PROD-0018,3,14.99,2.25
ITEM-000057,ORD-000024,PROD-0048,2,22.99,0.0
ITEM-000058,ORD-000024,PROD-0026,1,39.99,4.0
ITEM-000059,ORD-000025,PROD-0034,1,28.99,1.45
ITEM-000060,ORD-000026,PROD-0035,2,59.99,0.0
ITEM-000061,ORD-000026,PROD-0044,2,19.99,0.0
ITEM-000062,ORD-000026,PROD-0012,3,59.99,9.0
