order_id,customer_id,order_date,order_status,shipping_address,payment_id,total_amount
ORD-000001,CUST-00013,2025-10-05 00:00:00,Completed,"Toronto, ON, Canada",PAY-000001,338.92
ORD-000002,CUST-00370,2025-09-19 00:00:00,Completed,"Toronto, ON, Canada",PAY-000002,39.99
ORD-000003,CUST-00265,2025-04-30 00:00:00,Processing,"New York, NY, USA",PAY-000003,290.67
ORD-000004,CUST-00328,2025-09-09 00:00:00,Completed,"Toronto, ON, Canada",PAY-000004,68.97
ORD-000005,CUST-00003,2025-05-20 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000005,752.93
ORD-000006,CUST-00306,2025-08-17 00:00:00,Processing,"Philadelphia, PA, USA",PAY-000006,1525.38
ORD-000007,CUST-00123,2025-07-06 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000007,152.98
ORD-000008,CUST-00285,2025-04-26 00:00:00,Completed,"London, ENG, UK",PAY-000008,663.95
ORD-000009,CUST-00364,2025-09-15 00:00:00,Completed,"San Jose, CA, USA",PAY-000009,97.97
ORD-000010,CUST-00290,2025-10-11 00:00:00,Processing,"Los Angeles, CA, USA",PAY-000010,18.04
ORD-000011,CUST-00278,2025-02-21 00:00:00,Cancelled,"San Antonio, TX, USA",PAY-000011,416.41
ORD-000012,CUST-00444,2025-04-01 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000012,161.79
ORD-000013,CUST-00316,2025-04-12 00:00:00,Cancelled,"San Antonio, TX, USA",PAY-000013,213.69
ORD-000014,CUST-00166,2025-06-29 00:00:00,Completed,"New York, NY, USA",PAY-000014,161.96
ORD-000015,CUST-00390,2025-08-20 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000015,64.17
ORD-000016,CUST-00233,2025-10-07 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000016,1349.97
ORD-000017,CUST-00436,2025-03-04 00:00:00,Cancelled,"Toronto, ON, Canada",PAY-000017,220.41
ORD-000018,CUST-00051,2025-12-17 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000018,914.7
ORD-000019,CUST-00448,2025-06-20 00:00:00,Completed,"Chicago, IL, USA",PAY-000019,474.93
ORD-000020,CUST-00266,2025-09-15 00:00:00,Completed,"New York, NY, USA",PAY-000020,139.98
ORD-000021,CUST-00245,2025-03-08 00:00:00,Completed,"San Jose, CA, USA",PAY-000021,1181.91
ORD-000022,CUST-00316,2025-09-14 00:00:00,Cancelled,"San Antonio, TX, USA",PAY-000022,194.96
ORD-000023,CUST-00494,2025-09-07 00:00:00,Completed,"San Diego, CA, USA",PAY-000023,282.69
ORD-000024,CUST-00106,2025-10-23 00:00:00,Processing,"Dallas, TX, USA",PAY-000024,81.97
ORD-000025,CUST-00124,2025-10-13 00:00:00,Shipped,"London, ENG, UK",PAY-000025,27.54
ORD-000026,CUST-00199,2025-11-18 00:00:00,Completed,"San Antonio, TX, USA",PAY-000026,330.93
ORD-000027,CUST-00217,2025-08-24 00:00:00,Completed,"San Jose, CA, USA",PAY-000027,89.97
ORD-000028,CUST-00159,2025-09-11 00:00:00,Shipped,"San Antonio, TX, USA",PAY-000028,107.98
ORD-000029,CUST-00159,2025-04-30 00:00:00,Completed,"San Antonio, TX, USA",PAY-000029,149.99
ORD-000030,CUST-00086,2025-08-09 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000030,1427.04
ORD-000031,CUST-00029,2025-10-13 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000031,274.95
ORD-000032,CUST-00380,2025-10-18 00:00:00,Completed,"Toronto, ON, Canada",PAY-000032,199.99
ORD-000033,CUST-00092,2025-02-18 00:00:00,Processing,"Los Angeles, CA, USA",PAY-000033,963.41
ORD-000034,CUST-00412,2025-10-22 00:00:00,Completed,"London, ENG, UK",PAY-000034,1311.93
ORD-000035,CUST-00376,2025-11-06 00:00:00,Cancelled,"Dallas, TX, USA",PAY-000035,279.97
ORD-000036,CUST-00487,2025-07-21 00:00:00,Completed,"Chicago, IL, USA",PAY-000036,215.94
