return_id,order_id,product_id,return_date,return_reason,refund_amount
RET-00001,ORD-000002,PROD-0020,2025-09-26,Defective item,39.99
RET-00002,ORD-000019,PROD-0017,2025-07-02,Changed mind,194.97
RET-00003,ORD-000019,PROD-0024,2025-06-29,Defective item,99.99
RET-00004,ORD-000021,PROD-0047,2025-03-19,Defective item,17.99
RET-00005,ORD-000026,PROD-0035,2025-11-21,Defective item,119.98
RET-00006,ORD-000026,PROD-0044,2025-11-20,Item not as described,39.98
RET-00007,ORD-000038,PROD-0021,2025-04-12,Wrong size,599.98
RET-00008,ORD-000066,PROD-0037,2025-09-05,Wrong size,51.27
RET-00009,ORD-000080,PROD-0038,2025-07-31,Defective item,80.99
RET-00010,ORD-000083,PROD-0041,2025-03-22,Changed mind,59.98
RET-00011,ORD-000083,PROD-0026,2025-03-19,Wrong size,119.97
RET-00012,ORD-000136,PROD-0038,2025-10-05,Wrong size,242.97
RET-00013,ORD-000154,PROD-0006,2025-06-18,Item not as described,170.97
RET-00014,ORD-000162,PROD-0034,2025-02-10,Item not as described,86.97
RET-00015,ORD-000168,PROD-0029,2025-06-09,Changed mind,27.99
RET-00016,ORD-000173,PROD-0029,2025-07-08,Defective item,27.99
RET-00017,ORD-000179,PROD-0016,2025-12-14,Wrong size,239.97
RET-00018,ORD-000216,PROD-0038,2025-10-23,Wrong size,161.98
RET-00019,ORD-000220,PROD-0013,2025-05-12,Item not as described,370.47
RET-00020,ORD-000252,PROD-0016,2025-12-08,Item not as described,227.97
RET-00021,ORD-000255,PROD-0045,2025-07-09,Wrong size,199.47
RET-00022,ORD-000261,PROD-0049,2025-09-06,Item not as described,15.29
RET-00023,ORD-000268,PROD-0035,2025-08-31,Changed mind,59.99
RET-00024,ORD-000284,PROD-0016,2025-04-08,Item not as described,159.98
RET-00025,ORD-000296,PROD-0048,2025-08-10,Wrong size,22.99
RET-00026,ORD-000308,PROD-0041,2025-02-15,Changed mind,59.98
RET-00027,ORD-000310,PROD-0011,2025-07-19,Defective item,71.22
RET-00028,ORD-000315,PROD-0006,2025-04-19,Item not as described,179.97
RET-00029,ORD-000333,PROD-0043,2025-07-25,Defective item,47.48
RET-00030,ORD-000349,PROD-0036,2025-03-10,Changed mind,68.97
RET-00031,ORD-000352,PROD-0028,2025-05-07,Item not as described,34.99
RET-00032,ORD-000356,PROD-0039,2025-06-10,Item not as described,98.97
RET-00033,ORD-000357,PROD-0006,2025-10-14,Item not as described,56.99
RET-00034,ORD-000358,PROD-0049,2025-04-29,Defective item,45.87
RET-00035,ORD-000358,PROD-0010,2025-05-01,Wrong size,44.99
RET-00036,ORD-000363,PROD-0016,2025-08-28,Wrong size,159.98
RET-00037,ORD-000366,PROD-0019,2025-05-04,Item not as described,89.98
RET-00038,ORD-000396,PROD-0011,2025-05-23,Defective item,71.22
RET-00039,ORD-000414,PROD-0050,2025-12-17,Defective item,404.99
RET-00040,ORD-000418,PROD-0024,2025-10-31,Item not as described,299.97
RET-00041,ORD-000419,PROD-0022,2025-06-15,Defective item,149.99
RET-00042,ORD-000425,PROD-0031,2025-10-24,Item not as described,34.99
RET-00043,ORD-000426,PROD-0019,2025-10-08,Defective item,149.97
RET-00044,ORD-000430,PROD-0019,2025-11-13,Wrong size,47.49
RET-00045,ORD-000445,PROD-0003,2025-05-03,Defective item,242.97
RET-00046,ORD-000459,PROD-0015,2025-11-09,Item not as described,56.98
RET-00047,ORD-000459,PROD-0007,2025-11-09,Item not as described,94.98
RET-00048,ORD-000469,PROD-0039,2025-07-16,Changed mind,32.99
RET-00049,ORD-000472,PROD-0017,2025-12-20,Defective item,194.97
RET-00050,ORD-000478,PROD-0018,2025-03-20,Item not as described,14.24
RET-00051,ORD-000482,PROD-0029,2025-11-10,Changed mind,83.97
RET-00052,ORD-000493,PROD-0044,2025-09-01,Changed mind,35.98
RET-00053,ORD-000500,PROD-0045,2025-11-13,Defective item,188.97
RET-00054,ORD-000500,PROD-0026,2025-11-11,Changed mind,119.97
RET-00055,ORD-000509,PROD-0025,2025-03-06,Wrong size,113.99
RET-00056,ORD-000516,PROD-0001,2025-07-05,Item not as described,539.97
RET-00057,ORD-000518,PROD-0020,2025-06-21,Wrong size,71.98
RET-00058,ORD-000528,PROD-0020,2025-03-27,Item not as described,39.99
RET-00059,ORD-000529,PROD-0034,2025-09-22,Defective item,27.54
RET-00060,ORD-000531,PROD-0015,2025-10-25,Changed mind,29.99
RET-00061,ORD-000546,PROD-0035,2025-06-07,Changed mind,56.99
RET-00062,ORD-000553,PROD-0025,2025-10-08,Changed mind,119.99
RET-00063,ORD-000556,PROD-0021,2025-10-12,Changed mind,284.99
RET-00064,ORD-000567,PROD-0035,2025-10-15,Changed mind,161.97
RET-00065,ORD-000577,PROD-0027,2025-06-29,Changed mind,99.98
RET-00066,ORD-000580,PROD-0021,2025-12-20,Wrong size,299.99
RET-00067,ORD-000583,PROD-0005,2025-04-25,Defective item,251.99
RET-00068,ORD-000590,PROD-0014,2025-05-19,Defective item,69.98
RET-00069,ORD-000595,PROD-0022,2025-08-28,Item not as described,449.97
RET-00070,ORD-000597,PROD-0024,2025-09-22,Defective item,299.97
RET-00071,ORD-000605,PROD-0008,2025-02-20,Changed mind,85.47
RET-00072,ORD-000617,PROD-0004,2025-05-29,Defective item,75.98
RET-00073,ORD-000627,PROD-0008,2025-03-16,Item not as described,26.99
RET-00074,ORD-000638,PROD-0008,2025-11-01,Changed mind,59.98
RET-00075,ORD-000642,PROD-0047,2025-12-12,Defective item,35.98
RET-00076,ORD-000649,PROD-0015,2025-03-17,Item not as described,89.97
RET-00077,ORD-000664,PROD-0048,2025-08-14,Defective item,43.68
RET-00078,ORD-000671,PROD-0010,2025-03-28,Wrong size,134.97
RET-00079,ORD-000685,PROD-0015,2025-07-07,Defective item,89.97
RET-00080,ORD-000690,PROD-0016,2025-05-06,Changed mind,239.97
RET-00081,ORD-000694,PROD-0048,2025-10-29,Item not as described,41.38
RET-00082,ORD-000714,PROD-0050,2025-10-19,Item not as described,1349.97
RET-00083,ORD-000721,PROD-0028,2025-03-17,Changed mind,99.72
RET-00084,ORD-000729,PROD-0040,2025-12-08,Item not as described,41.78
RET-00085,ORD-000732,PROD-0045,2025-06-27,Changed mind,188.97
RET-00086,ORD-000734,PROD-0050,2025-10-08,Wrong size,899.98
RET-00087,ORD-000737,PROD-0044,2025-10-24,Defective item,35.98
RET-00088,ORD-000738,PROD-0019,2025-11-09,Wrong size,89.98
